,ip,label
115190,2408:8220:4001:1369:52db:3fe7:feed:a670,2
115912,2408:8207:b42d:9870:c01d:3816:58dd:d16a,2
118932,2408:8001:c001:5::1,0
118933,2408:8001:c001:3::d,0
118934,2408:8001:c001:3::b,0
118935,2408:8001:c001:3::5,0
118936,2408:8001:c001:3::35,0
118937,2408:8001:c001:3::2d,0
118938,2408:8001:c001:3::2b,0
118939,2408:8001:c001:3::1d,0
118940,2408:8001:c001:3::19,0
118941,2408:8001:c001:3::13,0
118942,2408:8001:c001:1::8,0
118943,2408:8001:c001:1::7,0
118944,2408:8001:c001:1::5,0
118945,2408:8001:c001:1::3,0
118946,2408:8001:c001:1::1,0
120678,2408:8000:b00c::f112:f112:103,0
120679,2408:8000:b00c:1:0:f011:f101:103,0
120680,2408:8000:b00c:1:0:f001:f112:3,0
120681,2408:8000:b00c:1:0:f001:f112:2,0
120682,2408:8000:b00c:1:0:f001:f111:103,0
120683,2408:8000:b00c:1:0:f001:f102:3,0
120684,2408:8000:b00c:1:0:f001:f102:2,0
120685,2408:8000:b00c:1:0:f001:f101:103,0
120686,2408:8000:b00c:1:0:206:5211:103,0
120687,2408:8000:b00c:1:0:206:5211:102,0
120688,2408:8000:b00c:1:0:206:5201:103,0
120689,2408:8000:b00c:1:0:206:5111:103,0
120690,2408:8000:b00c:1:0:206:5111:102,0
120691,2408:8000:b00c:1:0:206:5101:103,0
120692,2408:8000:b00c:1:0:206:5101:102,0
120693,2408:8000:b00c:1:0:204:11f2:308,0
120694,2408:8000:b00c:1:0:204:11f2:207,0
120695,2408:8000:b00c:1:0:204:11f2:2,0
120696,2408:8000:b00c:1:0:204:1101:309,0
120697,2408:8000:b00c:1:0:204:1101:3,0
120698,2408:8000:b00c:1:0:204:1101:207,0
120699,2408:8000:b00c:1:0:204:1101:206,0
120700,2408:8000:b00c:1:0:204:1101:105,0
120701,2408:8000:b00c:1:0:204:1101:104,0
120702,2408:8000:b00c:1:0:203:1101:309,0
120703,2408:8000:b00c:1:0:203:1101:308,0
120704,2408:8000:b00c:1:0:203:1101:3,0
120705,2408:8000:b00c:1:0:203:1101:207,0
120706,2408:8000:b00c:1:0:203:1101:206,0
120707,2408:8000:b00c:1:0:203:1101:105,0
120708,2408:8000:b00c:1:0:203:1101:104,0
123819,2407:e80:0:2a9:face:b00c:3333:a3f,0
123820,2407:e80:0:2a9:face:b00c:3333:1b26,2
123821,2407:e80:0:2a9:face:b00c:0:a7,0
123822,2407:e80:0:2a9:face:b00c:0:358e,2
123973,2407:d000:0:1a4::feed:244,0
124312,2407:c00:100:0:face:b00c:3333:a3f,0
124313,2407:c00:100:0:face:b00c:3333:7020,2
124314,2407:c00:100:0:face:b00c:0:a7,0
124315,2407:c00:100:0:face:b00c:0:358e,2
124347,2407:b400:51:3:face:b00c:3333:a3f,0
124348,2407:b400:51:3:face:b00c:3333:7020,2
124349,2407:b400:51:3:face:b00c:0:a7,0
124350,2407:b400:51:3:face:b00c:0:358e,2
124351,2407:b400:31:11:face:b00c:3333:a3f,0
124352,2407:b400:31:11:face:b00c:3333:7020,2
124353,2407:b400:31:11:face:b00c:0:a7,0
124354,2407:b400:31:11:face:b00c:0:358e,2
124442,2407::3b:face:b00c:3333:a3f,0
124443,2407::3b:face:b00c:3333:7020,2
124444,2407::3b:face:b00c:3333:1b26,2
124445,2407::3b:face:b00c:1155:a59,2
124446,2407::3b:face:b00c:0:a7,0
124447,2407::3b:face:b00c:0:358e,2
124448,2407::3a:face:b00c:3333:a3f,0
124449,2407::3a:face:b00c:3333:7020,2
124450,2407::3a:face:b00c:3333:1b26,2
124451,2407::3a:face:b00c:1155:a59,2
124452,2407::3a:face:b00c:0:a7,0
124453,2407::3a:face:b00c:0:358e,2
124454,2407::39:face:b00c:3333:a3f,0
124455,2407::39:face:b00c:3333:7020,2
124456,2407::39:face:b00c:3333:1b26,2
124457,2407::39:face:b00c:1155:a59,2
124458,2407::39:face:b00c:0:a7,0
124459,2407::39:face:b00c:0:358e,2
124460,2407::38:face:b00c:3333:a3f,0
124461,2407::38:face:b00c:3333:7020,2
124462,2407::38:face:b00c:3333:1b26,2
124463,2407::38:face:b00c:1155:a59,2
124464,2407::38:face:b00c:0:a7,0
124465,2407::38:face:b00c:0:358e,2
124466,2407::33:face:b00c:3333:a3f,0
124467,2407::33:face:b00c:3333:7020,2
124468,2407::33:face:b00c:3333:1b26,2
124469,2407::33:face:b00c:1155:a59,2
124470,2407::33:face:b00c:0:a7,0
124471,2407::33:face:b00c:0:358e,2
124472,2407::32:face:b00c:3333:a3f,0
124473,2407::32:face:b00c:3333:7020,2
124474,2407::32:face:b00c:3333:1b26,2
124475,2407::32:face:b00c:1155:a59,2
124476,2407::32:face:b00c:0:a7,0
124477,2407::32:face:b00c:0:358e,2
124478,2407::31:face:b00c:3333:a3f,0
124479,2407::31:face:b00c:3333:7020,2
124480,2407::31:face:b00c:3333:1b26,2
124481,2407::31:face:b00c:1155:a59,2
124482,2407::31:face:b00c:0:a7,0
124483,2407::31:face:b00c:0:358e,2
124484,2407::30:face:b00c:3333:a3f,0
124485,2407::30:face:b00c:3333:7020,2
124486,2407::30:face:b00c:3333:1b26,2
124487,2407::30:face:b00c:1155:a59,2
124488,2407::30:face:b00c:0:a7,0
124489,2407::30:face:b00c:0:358e,2
124688,2407:8800:bf00:b7:face:b00c:3333:a3f,0
124689,2407:8800:bf00:b6:face:b00c:3333:a3f,0
124806,2407:8800:bf00:74:face:b00c:3333:a3f,0
124895,2407:8800:bf00:33:face:b00c:3333:a3f,0
124896,2407:8800:bf00:33:face:b00c:0:a7,0
124897,2407:8800:bf00:31:face:b00c:3333:a3f,0
124898,2407:8800:bf00:31:face:b00c:0:a7,0
124899,2407:8800:bf00:2f:face:b00c:3333:a3f,0
124900,2407:8800:bf00:2f:face:b00c:0:a7,0
124901,2407:8800:bf00:2e:face:b00c:3333:a3f,0
124902,2407:8800:bf00:2e:face:b00c:0:a7,0
124903,2407:8800:bf00:2d:face:b00c:3333:a3f,0
124904,2407:8800:bf00:2d:face:b00c:0:a7,0
124905,2407:8800:bf00:2c:face:b00c:3333:a3f,0
124906,2407:8800:bf00:2c:face:b00c:0:a7,0
125229,2407:8780:2:1:face:b00c:0:a7,0
125450,2407:7000:cdcd:8:face:b00c:3333:a3f,0
125451,2407:7000:cdcd:8:face:b00c:0:a7,0
125463,2407:7000:cdcd:41:face:b00c:3333:a3f,0
125464,2407:7000:cdcd:41:face:b00c:0:a7,0
125468,2407:7000:cdcd:31:face:b00c:3333:a3f,0
125469,2407:7000:cdcd:31:face:b00c:0:a7,0
125478,2407:7000:cdcd:24:face:b00c:3333:a3f,0
125479,2407:7000:cdcd:24:face:b00c:0:a7,0
125482,2407:7000:cdcd:13:face:b00c:3333:a3f,0
125590,2407:6100:0:15:face:b00c:3333:a3f,0
125591,2407:6100:0:15:face:b00c:0:a7,0
125592,2407:6100:0:15:face:b00c:0:358e,2
125614,2407:5680:10:1:cafe::,0
125615,2407:5680:10:1:cafe:3::,0
125616,2407:5680:10:1:cafe:2::,0
125617,2407:5680:10:1:cafe:1::,0
125729,2407:4a00:cafe:b055::1,0
125730,2407:4a00:cafe::2,0
125731,2407:4a00:cafe::1,0
125768,2407:4a00:0:f00d::cafe,0
125883,2407:3100:112:0:face:b00c:3333:a3f,0
125884,2407:3100:112:0:face:b00c:3333:7020,2
125885,2407:3100:112:0:face:b00c:0:a7,0
125886,2407:3100:112:0:face:b00c:0:358e,2
125909,2407:3000:60:face:203:131:193:166,0
125913,2407:2e00:b:f78::beef,0
125968,2407:2e00:0:f1a::cafe,0
125992,2407:2a80::face:b00c:3333:a3f,0
125993,2407:2a80::face:b00c:0:a7,0
125994,2407:2a80::face:b00c:0:358e,2
125996,2407:2880:c001:1::6,0
125997,2407:2880:c001:1::2,0
125998,2407:2880:c001:1::1,0
125999,2407:2880:c001:1:2::220,0
126000,2407:2880:c001:1:2::18,0
126039,2407:1400:89:100:face:b00c:3333:a3f,0
126040,2407:1400:89:100:face:b00c:0:a7,0
126041,2407:1400:89:100:face:b00c:0:358e,2
126069,2407:0:3001:2:face:b00c:3333:a3f,0
126070,2407:0:3001:2:face:b00c:3333:7020,2
126071,2407:0:3001:2:face:b00c:3333:1b26,2
126072,2407:0:3001:2:face:b00c:1155:a59,2
126073,2407:0:3001:2:face:b00c:0:a7,0
126074,2407:0:3001:2:face:b00c:0:358e,2
126075,2407:0:3001:1:face:b00c:3333:a3f,0
126076,2407:0:3001:1:face:b00c:3333:7020,2
126077,2407:0:3001:1:face:b00c:3333:1b26,2
126078,2407:0:3001:1:face:b00c:1155:a59,2
126079,2407:0:3001:1:face:b00c:0:a7,0
126080,2407:0:3001:1:face:b00c:0:358e,2
126393,2406:e400:feed:0:b::d02,0
126394,2406:e400:feed:0:b::d01,0
126395,2406:e400:feed:0:b::6,0
126405,2406:e400:1:fb:face:b00c:3333:a3f,0
126406,2406:e400:1:fb:face:b00c:3333:7020,2
126407,2406:e400:1:fb:face:b00c:3333:1b26,2
126408,2406:e400:1:fb:face:b00c:0:a7,0
126409,2406:e400:1:fb:face:b00c:0:358e,2
126820,2406:e000:208:1:face:b00c:3333:a3f,0
126822,2406:e000:206:1:face:b00c:3333:a3f,0
126823,2406:e000:206:1:face:b00c:0:a7,0
127426,2406:da1c:a8b:7c02::cafe,0
127821,2406:da14:b6d:1300::dead:beef,0
129426,2406:da00:ff00::36f3:face,0
136231,2406:da00:ff00::3211:cafe,0
136683,2406:da00:ff00::3210:c01d,0
137854,2406:da00:ff00::22ce:dead,0
141250,2406:d500:6:beef::2,0
141251,2406:d500:6:beef:433:a3c9:bbf1:1,2
141252,2406:d500:6:beef:216:3cff:fe81:a6d4,1
141253,2406:d500:6:beef:216:3cff:fe29:f0d2,1
141254,2406:d500:6:beef:1e74:59ea:e1cf:1,2
141255,2406:d500:6:beef:1e1e:1f9e:23a2:2,2
141256,2406:d500:6:beef:1b26:d6c:3bc7:1,2
141257,2406:d500:6:beef:1300:eb20:2ab0:1,0
141289,2406:d500:12:beef::,0
141290,2406:d500:12:beef:3e63::1,0
141291,2406:d500:12:beef:38ff::1,0
141292,2406:d500:12:beef:3702::1,0
141293,2406:d500:12:beef:3576::1,0
141294,2406:d500:12:beef:2e09::1,0
141295,2406:d500:12:beef:261f:0:1:1,0
141296,2406:d500:12:beef:1202::1,0
141533,2406:c00:0:1:face:b00c:3333:a3f,0
141534,2406:c00:0:1:face:b00c:3333:7020,2
141535,2406:c00:0:1:face:b00c:0:a7,0
141536,2406:c00:0:1:face:b00c:0:358e,2
141669,2406:b400:7:5:face:b00c:3333:a3f,0
141670,2406:b400:7:5:face:b00c:3333:7020,2
141671,2406:b400:7:5:face:b00c:0:a7,0
141672,2406:b400:7:5:face:b00c:0:358e,2
141792,2406:9e00:3:1:face:b00c:3333:a3f,0
141793,2406:9e00:3:1:face:b00c:3333:7020,2
141794,2406:9e00:3:1:face:b00c:0:a7,0
141795,2406:9e00:3:1:face:b00c:0:358e,2
142817,2406:8800:9000:4000:face:b00c:3333:a3f,0
142818,2406:8800:9000:4000:face:b00c:3333:7020,2
142819,2406:8800:9000:4000:face:b00c:0:a7,0
142820,2406:8800:9000:4000:face:b00c:0:358e,2
142828,2406:8800:0:5:face:b00c:3333:a3f,0
142832,2406:8700:1e01:9d:face::3,0
142833,2406:8700:1e01:9b:face::3,0
142900,2406:7400:b7:0:face:b00c:3333:a3f,0
142901,2406:7400:b7:0:face:b00c:3333:7020,2
142902,2406:7400:b7:0:face:b00c:0:a7,0
142903,2406:7400:b7:0:face:b00c:0:358e,2
142977,2406:7400:4:1:face:b00c:3333:a3f,0
142978,2406:7400:4:1:face:b00c:3333:7020,2
142979,2406:7400:4:1:face:b00c:0:a7,0
142980,2406:7400:4:1:face:b00c:0:358e,2
143129,2406:5a00:0:d:face:b00c:3333:a3f,0
143130,2406:5a00:0:d:face:b00c:0:a7,0
143135,2406:5a00:0:16:face:b00c:3333:a3f,0
143207,2406:3c80:1:3:face:b00c:3333:a3f,0
143208,2406:3c80:1:3:face:b00c:3333:7020,2
143209,2406:3c80:1:3:face:b00c:0:a7,0
143210,2406:3c80:1:3:face:b00c:0:358e,2
143637,2406:3001:22:3:face:b00c:3333:a3f,0
143638,2406:3001:22:3:face:b00c:3333:7020,2
143639,2406:3001:22:3:face:b00c:3333:1b26,2
143640,2406:3001:22:3:face:b00c:0:a7,0
143641,2406:3001:22:3:face:b00c:0:358e,2
143642,2406:3001:22:2:face:b00c:3333:a3f,0
143643,2406:3001:22:2:face:b00c:3333:7020,2
143644,2406:3001:22:2:face:b00c:3333:1b26,2
143645,2406:3001:22:2:face:b00c:0:a7,0
143646,2406:3001:22:2:face:b00c:0:358e,2
143664,2406:3001:20:77:face:b00c:3333:a3f,0
143665,2406:3001:20:77:face:b00c:3333:7020,2
143666,2406:3001:20:77:face:b00c:0:a7,0
143667,2406:3001:20:77:face:b00c:0:358e,2
148108,2405:f600:41:2:face:b00c:3333:a3f,0
148140,2405:ec00:face:b00c:face:b00c:3333:a3f,0
148141,2405:ec00:face:b00c:face:b00c:0:a7,0
148142,2405:ec00:face:b00c:face:b00c:0:358e,2
148461,2405:da00:0:9:face:b00c:3333:a3f,0
148462,2405:da00:0:9:face:b00c:0:a7,0
148463,2405:da00:0:9:face:b00c:0:358e,2
148668,2405:ce00:cafe:beef::252:230,0
150372,2405:9800:8:3200:face:b00c:3333:a3f,0
150373,2405:9800:8:3200:face:b00c:3333:1b26,2
150374,2405:9800:8:3200:face:b00c:1155:a59,2
150375,2405:9800:8:3200:face:b00c:0:a7,0
150376,2405:9800:8:3200:face:b00c:0:358e,2
150548,2405:9800:8:1200:face:b00c:3333:a3f,0
150549,2405:9800:8:1200:face:b00c:3333:1b26,2
150550,2405:9800:8:1200:face:b00c:0:a7,0
150551,2405:9800:8:1200:face:b00c:0:358e,2
150620,2405:9800:59:0:face:b00c:3333:a3f,0
150621,2405:9800:59:0:face:b00c:0:a7,0
150622,2405:9800:59:0:face:b00c:0:358e,2
150638,2405:9800:50:0:face:b00c:3333:a3f,0
150639,2405:9800:50:0:face:b00c:0:a7,0
150640,2405:9800:50:0:face:b00c:0:358e,2
150642,2405:9800:42:0:face:b00c:3333:a3f,0
150643,2405:9800:42:0:face:b00c:0:a7,0
150644,2405:9800:42:0:face:b00c:0:358e,2
150645,2405:9800:41:1:face:b00c:3333:a3f,0
150646,2405:9800:41:1:face:b00c:0:a7,0
150647,2405:9800:41:1:face:b00c:0:358e,2
150649,2405:9800:40:1:face:b00c:3333:a3f,0
150650,2405:9800:40:1:face:b00c:1155:a59,2
150651,2405:9800:40:1:face:b00c:0:a7,0
150652,2405:9800:40:1:face:b00c:0:358e,2
150653,2405:9800:40:0:face:b00c:3333:a3f,0
150654,2405:9800:40:0:face:b00c:3333:1b26,2
150655,2405:9800:40:0:face:b00c:0:a7,0
150656,2405:9800:40:0:face:b00c:0:358e,2
150670,2405:9800:20:0:face:b00c:3333:a3f,0
150671,2405:9800:20:0:face:b00c:3333:1b26,2
150672,2405:9800:20:0:face:b00c:0:a7,0
150673,2405:9800:20:0:face:b00c:0:358e,2
150674,2405:9800:14:1:face:b00c:3333:a3f,0
150675,2405:9800:14:1:face:b00c:0:a7,0
150676,2405:9800:14:1:face:b00c:0:358e,2
150677,2405:9800:13:1:face:b00c:3333:a3f,0
150678,2405:9800:13:1:face:b00c:0:a7,0
150679,2405:9800:13:1:face:b00c:0:358e,2
150689,2405:9800:10:0:face:b00c:3333:a3f,0
150690,2405:9800:10:0:face:b00c:3333:1b26,2
150691,2405:9800:10:0:face:b00c:1155:a59,2
150692,2405:9800:10:0:face:b00c:0:a7,0
150693,2405:9800:10:0:face:b00c:0:358e,2
151181,2405:7600:0:14:face:b00c:3333:a3f,0
151182,2405:7600:0:14:face:b00c:0:a7,0
151183,2405:7600:0:14:face:b00c:0:358e,2
151185,2405:7400:0:7:face:b00c:3333:a3f,0
151186,2405:7400:0:7:face:b00c:0:a7,0
151187,2405:7400:0:7:face:b00c:0:358e,2
151238,2405:7000:8:2842:face:b00c:3333:a3f,0
151240,2405:7000:8:2441:face:b00c:3333:a3f,0
151273,2405:7000:1:beef::34,0
151436,2405:6e00:f850:3:face:b00c:3333:a3f,0
151439,2405:6e00:f840:3:face:b00c:3333:a3f,0
151442,2405:6e00:f830:3:face:b00c:3333:a3f,0
151444,2405:6e00:f82e:3:face:b00c:3333:a3f,0
151445,2405:6e00:f82e:3:face:b00c:0:a7,0
151448,2405:6e00:f820:3:face:b00c:3333:a3f,0
151449,2405:6e00:f820:3:face:b00c:0:a7,0
151452,2405:6e00:f810:3:face:b00c:3333:a3f,0
151453,2405:6e00:f810:3:face:b00c:0:a7,0
151457,2405:6e00:f800:3:face:b00c:3333:a3f,0
151458,2405:6e00:f800:3:face:b00c:0:a7,0
151762,2405:600:1:face:b00c::2,0
151779,2405:600:1002:0:face:b00c:3333:a3f,0
151780,2405:600:1002:0:face:b00c:0:a7,0
151782,2405:600:1000:0:face:b00c:3333:a3f,0
151783,2405:600:1000:0:face:b00c:0:a7,0
151784,2405:600:1000:0:face:b00c:0:358e,2
151823,2405:5700:1:2:face:b00c:3333:a3f,0
151824,2405:5700:1:2:face:b00c:0:a7,0
151825,2405:5700:1:1:face:b00c:3333:a3f,0
151826,2405:5700:1:1:face:b00c:0:a7,0
151828,2405:5700:1:0:face:b00c:3333:a3f,0
151829,2405:5700:1:0:face:b00c:0:a7,0
152203,2405:4800:105:6:face:b00c:3333:a3f,0
152204,2405:4800:105:6:face:b00c:3333:7020,2
152205,2405:4800:105:6:face:b00c:3333:1b26,2
152206,2405:4800:105:6:face:b00c:0:a7,0
152207,2405:4800:105:6:face:b00c:0:358e,2
152208,2405:4800:105:4:face:b00c:3333:a3f,0
152209,2405:4800:105:4:face:b00c:3333:7020,2
152210,2405:4800:105:4:face:b00c:3333:1b26,2
152211,2405:4800:105:4:face:b00c:0:a7,0
152212,2405:4800:105:4:face:b00c:0:358e,2
152213,2405:4800:105:2:face:b00c:3333:a3f,0
152214,2405:4800:105:2:face:b00c:3333:7020,2
152215,2405:4800:105:2:face:b00c:3333:1b26,2
152216,2405:4800:105:2:face:b00c:1155:a59,2
152217,2405:4800:105:2:face:b00c:0:a7,0
152218,2405:4800:105:2:face:b00c:0:358e,2
152219,2405:4800:105:1:face:b00c:3333:a3f,0
152220,2405:4800:105:1:face:b00c:3333:7020,2
152221,2405:4800:105:1:face:b00c:3333:1b26,2
152222,2405:4800:105:1:face:b00c:0:a7,0
152223,2405:4800:105:1:face:b00c:0:358e,2
152224,2405:4800:104:4:face:b00c:3333:a3f,0
152225,2405:4800:104:4:face:b00c:3333:7020,2
152226,2405:4800:104:4:face:b00c:3333:1b26,2
152227,2405:4800:104:4:face:b00c:1155:a59,2
152228,2405:4800:104:4:face:b00c:0:a7,0
152229,2405:4800:104:4:face:b00c:0:358e,2
152230,2405:4800:104:3:face:b00c:3333:a3f,0
152231,2405:4800:104:3:face:b00c:3333:7020,2
152232,2405:4800:104:3:face:b00c:3333:1b26,2
152233,2405:4800:104:3:face:b00c:0:a7,0
152234,2405:4800:104:3:face:b00c:0:358e,2
152235,2405:4800:104:2:face:b00c:3333:a3f,0
152236,2405:4800:104:2:face:b00c:3333:7020,2
152237,2405:4800:104:2:face:b00c:3333:1b26,2
152238,2405:4800:104:2:face:b00c:0:a7,0
152239,2405:4800:104:2:face:b00c:0:358e,2
152240,2405:4800:104:1:face:b00c:3333:a3f,0
152241,2405:4800:104:1:face:b00c:3333:7020,2
152242,2405:4800:104:1:face:b00c:3333:1b26,2
152243,2405:4800:104:1:face:b00c:1155:a59,2
152244,2405:4800:104:1:face:b00c:0:a7,0
152245,2405:4800:104:1:face:b00c:0:358e,2
152997,2405:4000:801:5:face:b00c:4444:5067,2
152998,2405:4000:801:5:face:b00c:3333:a3f,0
152999,2405:4000:801:5:face:b00c:3333:1b26,2
153000,2405:4000:801:5:face:b00c:1155:a59,2
153001,2405:4000:801:5:face:b00c:0:a7,0
153002,2405:4000:801:5:face:b00c:0:358e,2
